suite	target	actual_status	expected_status	selected_run	match
combined-impact	distinct_accept_sources_have_distinct_handles	verified	verified	run1	MATCH
combined-impact	install_requires_batch_complete	verified	verified	run1	MATCH
combined-impact	consumer_complete_requires_all_outputs_installed	verified	verified	run1	MATCH
combined-impact	consumer_complete_single_use	verified	verified	run1	MATCH
combined-impact	no_install_after_consumer_close	verified	verified	run1	MATCH
combined-impact	normal_one_confirmed_accept_one_install	verified	verified	run1	MATCH
combined-impact	legacy_same_confirmed_message_consumer_complete_exists	falsified	falsified	run1	MATCH
combined-impact	one_confirmed_send_two_accepts_two_installs_exists	falsified	falsified	run1	MATCH
combined-impact	unique_install_within_completed_consumer	verified	verified	run1	MATCH
combined-impact	duplicate_batch_has_no_accept_output	verified	verified	run2	MATCH
combined-impact	duplicate_batch_has_no_install	verified	verified	run1	MATCH
combined-impact	normal_two_distinct_valid_confirmed_outputs_consumer_complete	verified	verified	run1	MATCH
combined-impact	no_consumer_after_failed_batch	verified	verified	run1	MATCH
combined-impact	hmac_failure_slot2_after_prior_accept_exists	verified	verified	run1	MATCH
original-replay	normal_single_accept	verified	verified	run1	MATCH
original-replay	normal_batch_complete	verified	verified	run1	MATCH
original-replay	one_send_two_accepts_exists	verified	verified	run1	MATCH
original-replay	same_message_accepted_at_most_once	falsified	falsified	run1	MATCH
original-replay	full_message_unique_send	verified	verified	run1	MATCH
original-replay	receiver_accept_has_sender	verified	verified	run1	MATCH
original-replay	injective_receiver_accept	falsified	falsified	run1	MATCH
original-replay	slot_indices_distinct	verified	verified	run1	MATCH
original-replay	process_requires_slot_added	verified	verified	run1	MATCH
original-replay	process_requires_seal	verified	verified	run1	MATCH
original-replay	complete_requires_all_slots_processed	verified	verified	run1	MATCH
original-replay	no_add_after_seal	verified	verified	run1	MATCH
original-replay	no_accept_after_close	verified	verified	run1	MATCH
original-replay	batch_complete_consumes_state	verified	verified	run1	MATCH
original-replay	batch_fail_consumes_state	verified	verified	run1	MATCH
original-replay	batch_end_token_single_use	verified	verified	run1	MATCH
original-replay	receiver_state_single_batch	verified	verified	run1	MATCH
original-replay	receiver_state_single_batch_end	verified	verified	run1	MATCH
hmac-replay	normal_confirmed_single_accept	verified	verified	run1	MATCH
hmac-replay	normal_confirmed_batch_complete	verified	verified	run1	MATCH
hmac-replay	confirmed_receiver_accept_has_sender	verified	verified	run1	MATCH
hmac-replay	confirmed_message_unique_send	verified	verified	run1	MATCH
hmac-replay	one_confirmed_send_two_accepts_exists	verified	verified	run1	MATCH
hmac-replay	confirmed_message_accepted_at_most_once	falsified	falsified	run1	MATCH
hmac-replay	injective_confirmed_receiver_accept	falsified	falsified	run1	MATCH
hmac-replay	slot_indices_distinct	verified	verified	run1	MATCH
hmac-replay	process_requires_slot_added	verified	verified	run1	MATCH
hmac-replay	process_requires_seal	verified	verified	run1	MATCH
hmac-replay	complete_requires_all_slots_processed	verified	verified	run1	MATCH
hmac-replay	no_add_after_seal	verified	verified	run1	MATCH
hmac-replay	no_accept_after_close	verified	verified	run1	MATCH
hmac-replay	batch_complete_consumes_state	verified	verified	run1	MATCH
hmac-replay	batch_fail_consumes_state	verified	verified	run1	MATCH
hmac-replay	batch_end_token_single_use	verified	verified	run1	MATCH
hmac-replay	receiver_state_single_batch	verified	verified	run1	MATCH
hmac-replay	receiver_state_single_batch_end	verified	verified	run1	MATCH
original-impact	accept_output_has_same_time_accept	verified	verified	run1	MATCH
original-impact	receiver_accept_has_output	verified	verified	run1	MATCH
original-impact	receiver_accept_has_unique_output	verified	verified	run1	MATCH
original-impact	accept_id_unique	verified	verified	run1	MATCH
original-impact	install_has_prior_accept	verified	verified	run1	MATCH
original-impact	install_session_has_interface_origin	verified	verified	run1	MATCH
original-impact	install_from_accept_has_session	verified	verified	run1	MATCH
original-impact	install_event_has_single_source	verified	verified	run1	MATCH
original-impact	install_handle_unique	verified	verified	run1	MATCH
original-impact	accept_output_installed_at_most_once	verified	verified	run1	MATCH
original-impact	distinct_accept_sources_have_distinct_handles	verified	verified	run1	MATCH
original-impact	install_requires_batch_complete	verified	verified	run1	MATCH
original-impact	consumer_complete_requires_all_outputs_installed	verified	verified	run1	MATCH
original-impact	consumer_complete_single_use	verified	verified	run1	MATCH
original-impact	no_install_after_consumer_close	verified	verified	run1	MATCH
original-impact	normal_one_accept_one_install	verified	verified	run1	MATCH
original-impact	normal_consumer_complete	verified	verified	run1	MATCH
original-impact	one_send_two_accepts_two_installs_exists	verified	verified	run1	MATCH
original-impact	unique_install_within_completed_consumer	falsified	falsified	run1	MATCH
original-impact	normal_single_accept	verified	verified	run1	MATCH
original-impact	normal_batch_complete	verified	verified	run1	MATCH
original-impact	one_send_two_accepts_exists	verified	verified	run1	MATCH
original-impact	same_message_accepted_at_most_once	falsified	falsified	run1	MATCH
original-impact	full_message_unique_send	verified	verified	run1	MATCH
original-impact	receiver_accept_has_sender	verified	verified	run1	MATCH
original-impact	injective_receiver_accept	falsified	falsified	run1	MATCH
original-impact	slot_indices_distinct	verified	verified	run1	MATCH
original-impact	process_requires_slot_added	verified	verified	run1	MATCH
original-impact	process_requires_seal	verified	verified	run1	MATCH
original-impact	complete_requires_all_slots_processed	verified	verified	run1	MATCH
original-impact	no_add_after_seal	verified	verified	run1	MATCH
original-impact	no_accept_after_close	verified	verified	run1	MATCH
original-impact	batch_complete_consumes_state	verified	verified	run1	MATCH
original-impact	batch_fail_consumes_state	verified	verified	run1	MATCH
original-impact	batch_end_token_single_use	verified	verified	run1	MATCH
original-impact	receiver_state_single_batch	verified	verified	run1	MATCH
original-impact	receiver_state_single_batch_end	verified	verified	run1	MATCH
fixed-replay	normal_single_accept	verified	verified	run1	MATCH
fixed-replay	normal_batch_complete	verified	verified	run1	MATCH
fixed-replay	one_send_two_accepts_exists	falsified	falsified	run1	MATCH
fixed-replay	same_message_accepted_at_most_once	verified	verified	run1	MATCH
fixed-replay	full_message_unique_send	verified	verified	run1	MATCH
fixed-replay	receiver_accept_has_sender	verified	verified	run1	MATCH
fixed-replay	injective_receiver_accept	verified	verified	run1	MATCH
fixed-replay	slot_indices_distinct	verified	verified	run1	MATCH
fixed-replay	process_requires_slot_added	verified	verified	run1	MATCH
fixed-replay	process_requires_seal	verified	verified	run1	MATCH
fixed-replay	complete_requires_all_slots_processed	verified	verified	run1	MATCH
fixed-replay	no_add_after_seal	verified	verified	run1	MATCH
fixed-replay	no_accept_after_close	verified	verified	run1	MATCH
fixed-replay	batch_complete_consumes_state	verified	verified	run1	MATCH
fixed-replay	batch_fail_consumes_state	verified	verified	run1	MATCH
fixed-replay	batch_end_token_single_use	verified	verified	run1	MATCH
fixed-replay	receiver_state_single_batch	verified	verified	run1	MATCH
fixed-replay	receiver_state_single_batch_end	verified	verified	run1	MATCH
fixed-replay	duplicate_batch_fail_exists	verified	verified	run1	MATCH
fixed-replay	duplicate_detected_before_any_accept	verified	verified	run1	MATCH
fixed-replay	duplicate_batch_has_no_accept	verified	verified	run1	MATCH
fixed-replay	process_requires_dedup_pass	verified	verified	run1	MATCH
fixed-replay	dedup_pass_messages_distinct	verified	verified	run1	MATCH
fixed-replay	dedup_decision_single_use	verified	verified	run1	MATCH
fixed-replay	dedup_outcomes_exclusive	verified	verified	run1	MATCH
fixed-replay	normal_distinct_batch_complete	verified	verified	run1	MATCH
fixed-replay	normal_distinct_fail_slot1_exists	verified	verified	run1	MATCH
fixed-replay	normal_distinct_fail_slot2_exists	verified	verified	run1	MATCH
fixed-replay	batch_fail_complete_exclusive	verified	verified	run1	MATCH
fixed-replay	state_consumed_on_duplicate_fail	verified	verified	run1	MATCH
fixed-impact	accept_output_has_same_time_accept	verified	verified	run1	MATCH
fixed-impact	receiver_accept_has_output	verified	verified	run1	MATCH
fixed-impact	receiver_accept_has_unique_output	verified	verified	run1	MATCH
fixed-impact	accept_id_unique	verified	verified	run1	MATCH
fixed-impact	install_has_prior_accept	verified	verified	run1	MATCH
fixed-impact	install_session_has_interface_origin	verified	verified	run1	MATCH
fixed-impact	install_from_accept_has_session	verified	verified	run1	MATCH
fixed-impact	install_event_has_single_source	verified	verified	run1	MATCH
fixed-impact	install_handle_unique	verified	verified	run1	MATCH
fixed-impact	accept_output_installed_at_most_once	verified	verified	run1	MATCH
fixed-impact	distinct_accept_sources_have_distinct_handles	verified	verified	run1	MATCH
fixed-impact	install_requires_batch_complete	verified	verified	run1	MATCH
fixed-impact	consumer_complete_requires_all_outputs_installed	verified	verified	run1	MATCH
fixed-impact	consumer_complete_single_use	verified	verified	run1	MATCH
fixed-impact	no_install_after_consumer_close	verified	verified	run1	MATCH
fixed-impact	normal_one_accept_one_install	verified	verified	run1	MATCH
fixed-impact	normal_consumer_complete	falsified	falsified	run1	MATCH
fixed-impact	one_send_two_accepts_two_installs_exists	falsified	falsified	run1	MATCH
fixed-impact	unique_install_within_completed_consumer	verified	verified	run1	MATCH
fixed-impact	normal_single_accept	verified	verified	run1	MATCH
fixed-impact	normal_batch_complete	verified	verified	run1	MATCH
fixed-impact	one_send_two_accepts_exists	falsified	falsified	run1	MATCH
fixed-impact	same_message_accepted_at_most_once	verified	verified	run1	MATCH
fixed-impact	full_message_unique_send	verified	verified	run1	MATCH
fixed-impact	receiver_accept_has_sender	verified	verified	run1	MATCH
fixed-impact	injective_receiver_accept	verified	verified	run1	MATCH
fixed-impact	slot_indices_distinct	verified	verified	run1	MATCH
fixed-impact	process_requires_slot_added	verified	verified	run1	MATCH
fixed-impact	process_requires_seal	verified	verified	run1	MATCH
fixed-impact	complete_requires_all_slots_processed	verified	verified	run1	MATCH
fixed-impact	no_add_after_seal	verified	verified	run1	MATCH
fixed-impact	no_accept_after_close	verified	verified	run1	MATCH
fixed-impact	batch_complete_consumes_state	verified	verified	run1	MATCH
fixed-impact	batch_fail_consumes_state	verified	verified	run1	MATCH
fixed-impact	batch_end_token_single_use	verified	verified	run1	MATCH
fixed-impact	receiver_state_single_batch	verified	verified	run1	MATCH
fixed-impact	receiver_state_single_batch_end	verified	verified	run1	MATCH
fixed-impact	duplicate_batch_fail_exists	verified	verified	run1	MATCH
fixed-impact	duplicate_detected_before_any_accept	verified	verified	run1	MATCH
fixed-impact	duplicate_batch_has_no_accept	verified	verified	run1	MATCH
fixed-impact	duplicate_batch_has_no_accept_output	verified	verified	run1	MATCH
fixed-impact	duplicate_batch_has_no_install	verified	verified	run1	MATCH
fixed-impact	process_requires_dedup_pass	verified	verified	run1	MATCH
fixed-impact	dedup_pass_messages_distinct	verified	verified	run1	MATCH
fixed-impact	dedup_decision_single_use	verified	verified	run1	MATCH
fixed-impact	dedup_outcomes_exclusive	verified	verified	run1	MATCH
fixed-impact	normal_distinct_batch_complete	verified	verified	run1	MATCH
fixed-impact	normal_distinct_consumer_complete	verified	verified	run1	MATCH
fixed-impact	normal_distinct_fail_slot1_exists	verified	verified	run1	MATCH
fixed-impact	normal_distinct_fail_slot2_exists	verified	verified	run1	MATCH
fixed-impact	batch_fail_complete_exclusive	verified	verified	run1	MATCH
fixed-impact	state_consumed_on_duplicate_fail	verified	verified	run1	MATCH
fixed-impact	no_consumer_after_failed_batch	verified	verified	run1	MATCH
v6	executable_add_slot	verified	verified	run1	MATCH
v6	executable_seal_batch	verified	verified	run1	MATCH
v6	executable_process_slot	verified	verified	run1	MATCH
v6	executable_batch_complete	verified	verified	run1	MATCH
v6	executable_batch_fail	verified	verified	run1	MATCH
v6	process_requires_slot_added	verified	verified	run1	MATCH
v6	process_requires_seal	verified	verified	run1	MATCH
v6	complete_requires_seal	verified	verified	run1	MATCH
v6	fail_requires_seal	verified	verified	run1	MATCH
v6	batch_complete_consumes_state	verified	verified	run1	MATCH
v6	batch_fail_consumes_state	verified	verified	run1	MATCH
v6	batch_end_token_single_use	verified	verified	run1	MATCH
v6	batch_fail_complete_exclusive	verified	verified	run1	MATCH
v6	slot_origin_without_early_compromise	verified	verified	run1	MATCH
v6	slot_key_known_requires_exception	verified	verified	run1	MATCH
v6	partnered_slot_key_not_attacker_known_without_early_compromise	verified	verified	run1	MATCH
v7	executable_four_slots_added	verified	verified	run1	MATCH
v7	executable_seal_batch	verified	verified	run1	MATCH
v7	executable_four_slots_processed	verified	verified	run1	MATCH
v7	executable_batch_complete	verified	verified	run1	MATCH
v7	executable_batch_fail	verified	verified	run1	MATCH
v7	seal_requires_all_slots_added	verified	verified	run1	MATCH
v7	process_requires_slot_added	verified	verified	run1	MATCH
v7	process_requires_seal	verified	verified	run1	MATCH
v7	complete_requires_seal	verified	verified	run1	MATCH
v7	fail_requires_seal	verified	verified	run1	MATCH
v7	complete_requires_all_slots_done	verified	verified	run1	MATCH
v7	complete_requires_all_added_slots_processed	verified	verified	run1	MATCH
v7	no_add_after_seal	verified	verified	run1	MATCH
v7	no_add_after_complete	verified	verified	run1	MATCH
v7	no_add_after_fail	verified	verified	run1	MATCH
v7	no_slot_accept_after_complete	verified	verified	run1	MATCH
v7	no_slot_accept_after_fail	verified	verified	run1	MATCH
v7	no_slot_accept_after_close	verified	verified	run1	MATCH
v7	batch_complete_consumes_state	verified	verified	run1	MATCH
v7	batch_fail_consumes_state	verified	verified	run1	MATCH
v7	batch_end_token_single_use	verified	verified	run1	MATCH
v7	batch_fail_complete_exclusive	verified	verified	run1	MATCH
v7	receiver_state_single_batch_end	verified	verified	run1	MATCH
v7	slot_origin	verified	verified	run1	MATCH
