suite	target	expected	run1	run2	selected_run	selected_status	reason
combined-impact	install_has_prior_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	install_session_has_interface_origin	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	install_from_accept_has_session	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	install_event_has_single_source	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	install_handle_unique	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	accept_output_installed_at_most_once	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	distinct_accept_sources_have_distinct_handles	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	install_requires_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	consumer_complete_requires_all_outputs_installed	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	consumer_complete_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	no_install_after_consumer_close	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	normal_one_confirmed_accept_one_install	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	legacy_same_confirmed_message_consumer_complete_exists	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
combined-impact	one_confirmed_send_two_accepts_two_installs_exists	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
combined-impact	unique_install_within_completed_consumer	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	duplicate_batch_has_no_accept_output	verified	nonterminal	verified	run2	verified	Run 1 nonterminal; Run 2 terminal fallback
combined-impact	duplicate_batch_has_no_install	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	normal_two_distinct_valid_confirmed_outputs_consumer_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	no_consumer_after_failed_batch	verified	verified	verified	run1	verified	Run 1 primary terminal
combined-impact	hmac_failure_slot2_after_prior_accept_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	normal_single_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	normal_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	one_send_two_accepts_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	same_message_accepted_at_most_once	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
original-replay	full_message_unique_send	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	receiver_accept_has_sender	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	injective_receiver_accept	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
original-replay	slot_indices_distinct	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	process_requires_slot_added	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	process_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	complete_requires_all_slots_processed	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	no_add_after_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	no_accept_after_close	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	batch_complete_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	batch_fail_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	batch_end_token_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	receiver_state_single_batch	verified	verified	verified	run1	verified	Run 1 primary terminal
original-replay	receiver_state_single_batch_end	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	normal_confirmed_single_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	normal_confirmed_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	confirmed_receiver_accept_has_sender	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	confirmed_message_unique_send	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	one_confirmed_send_two_accepts_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	confirmed_message_accepted_at_most_once	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
hmac-replay	injective_confirmed_receiver_accept	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
hmac-replay	slot_indices_distinct	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	process_requires_slot_added	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	process_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	complete_requires_all_slots_processed	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	no_add_after_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	no_accept_after_close	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	batch_complete_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	batch_fail_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	batch_end_token_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	receiver_state_single_batch	verified	verified	verified	run1	verified	Run 1 primary terminal
hmac-replay	receiver_state_single_batch_end	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	accept_output_has_same_time_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	receiver_accept_has_output	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	receiver_accept_has_unique_output	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	accept_id_unique	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	install_has_prior_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	install_session_has_interface_origin	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	install_from_accept_has_session	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	install_event_has_single_source	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	install_handle_unique	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	accept_output_installed_at_most_once	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	distinct_accept_sources_have_distinct_handles	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	install_requires_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	consumer_complete_requires_all_outputs_installed	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	consumer_complete_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	no_install_after_consumer_close	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	normal_one_accept_one_install	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	normal_consumer_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	one_send_two_accepts_two_installs_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	unique_install_within_completed_consumer	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
original-impact	normal_single_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	normal_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	one_send_two_accepts_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	same_message_accepted_at_most_once	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
original-impact	full_message_unique_send	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	receiver_accept_has_sender	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	injective_receiver_accept	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
original-impact	slot_indices_distinct	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	process_requires_slot_added	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	process_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	complete_requires_all_slots_processed	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	no_add_after_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	no_accept_after_close	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	batch_complete_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	batch_fail_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	batch_end_token_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	receiver_state_single_batch	verified	verified	verified	run1	verified	Run 1 primary terminal
original-impact	receiver_state_single_batch_end	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	normal_single_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	normal_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	one_send_two_accepts_exists	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
fixed-replay	same_message_accepted_at_most_once	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	full_message_unique_send	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	receiver_accept_has_sender	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	injective_receiver_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	slot_indices_distinct	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	process_requires_slot_added	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	process_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	complete_requires_all_slots_processed	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	no_add_after_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	no_accept_after_close	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	batch_complete_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	batch_fail_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	batch_end_token_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	receiver_state_single_batch	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	receiver_state_single_batch_end	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	duplicate_batch_fail_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	duplicate_detected_before_any_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	duplicate_batch_has_no_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	process_requires_dedup_pass	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	dedup_pass_messages_distinct	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	dedup_decision_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	dedup_outcomes_exclusive	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	normal_distinct_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	normal_distinct_fail_slot1_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	normal_distinct_fail_slot2_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	batch_fail_complete_exclusive	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-replay	state_consumed_on_duplicate_fail	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	accept_output_has_same_time_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	receiver_accept_has_output	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	receiver_accept_has_unique_output	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	accept_id_unique	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	install_has_prior_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	install_session_has_interface_origin	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	install_from_accept_has_session	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	install_event_has_single_source	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	install_handle_unique	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	accept_output_installed_at_most_once	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	distinct_accept_sources_have_distinct_handles	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	install_requires_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	consumer_complete_requires_all_outputs_installed	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	consumer_complete_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	no_install_after_consumer_close	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	normal_one_accept_one_install	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	normal_consumer_complete	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
fixed-impact	one_send_two_accepts_two_installs_exists	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
fixed-impact	unique_install_within_completed_consumer	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	normal_single_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	normal_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	one_send_two_accepts_exists	falsified	falsified	falsified	run1	falsified	Run 1 primary terminal
fixed-impact	same_message_accepted_at_most_once	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	full_message_unique_send	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	receiver_accept_has_sender	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	injective_receiver_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	slot_indices_distinct	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	process_requires_slot_added	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	process_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	complete_requires_all_slots_processed	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	no_add_after_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	no_accept_after_close	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	batch_complete_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	batch_fail_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	batch_end_token_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	receiver_state_single_batch	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	receiver_state_single_batch_end	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	duplicate_batch_fail_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	duplicate_detected_before_any_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	duplicate_batch_has_no_accept	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	duplicate_batch_has_no_accept_output	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	duplicate_batch_has_no_install	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	process_requires_dedup_pass	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	dedup_pass_messages_distinct	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	dedup_decision_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	dedup_outcomes_exclusive	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	normal_distinct_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	normal_distinct_consumer_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	normal_distinct_fail_slot1_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	normal_distinct_fail_slot2_exists	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	batch_fail_complete_exclusive	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	state_consumed_on_duplicate_fail	verified	verified	verified	run1	verified	Run 1 primary terminal
fixed-impact	no_consumer_after_failed_batch	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	executable_add_slot	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	executable_seal_batch	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	executable_process_slot	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	executable_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	executable_batch_fail	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	process_requires_slot_added	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	process_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	complete_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	fail_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	batch_complete_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	batch_fail_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	batch_end_token_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	batch_fail_complete_exclusive	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	slot_origin_without_early_compromise	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	slot_key_known_requires_exception	verified	verified	verified	run1	verified	Run 1 primary terminal
v6	partnered_slot_key_not_attacker_known_without_early_compromise	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	executable_four_slots_added	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	executable_seal_batch	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	executable_four_slots_processed	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	executable_batch_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	executable_batch_fail	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	seal_requires_all_slots_added	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	process_requires_slot_added	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	process_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	complete_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	fail_requires_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	complete_requires_all_slots_done	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	complete_requires_all_added_slots_processed	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	no_add_after_seal	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	no_add_after_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	no_add_after_fail	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	no_slot_accept_after_complete	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	no_slot_accept_after_fail	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	no_slot_accept_after_close	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	batch_complete_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	batch_fail_consumes_state	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	batch_end_token_single_use	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	batch_fail_complete_exclusive	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	receiver_state_single_batch_end	verified	verified	verified	run1	verified	Run 1 primary terminal
v7	slot_origin	verified	verified	verified	run1	verified	Run 1 primary terminal
