id	authors	title	venue	year	pages	doi	primary_url	source_verified	content_checked	relation_class	collision_level
L11	Simon Meier; Benedikt Schmidt; Cas Cremers; David Basin	The TAMARIN Prover for the Symbolic Analysis of Security Protocols	CAV 2013; LNCS 8044	2013	696-701	10.1007/978-3-642-39799-8_48	https://link.springer.com/chapter/10.1007/978-3-642-39799-8_48	yes	abstract; multiset-rewriting model; symbolic adversary; trace analysis; automation scope	METHODOLOGY	NONE
L12	Richard Barnes; Benjamin Beurdouche; Raphael Robert; Jon Millican; Emad Omara; Katriel Cohn-Gordon	The Messaging Layer Security (MLS) Protocol	RFC 9420	2023		10.17487/RFC9420	https://www.rfc-editor.org/rfc/rfc9420.html	yes	architecture and terminology; epochs; authenticated clients; members; ratchet tree; security considerations	STANDARD_ADJACENT_CONTEXT	NONE
L13	Moxie Marlinspike; Trevor Perrin	The X3DH Key Agreement Protocol	Signal protocol specification; Revision 1	2016			https://signal.org/docs/specifications/x3dh/	yes	roles and keys; protocol flow; authentication; replay; key reuse; server trust; identity binding	PROTOCOL_SPECIFICATION_BACKGROUND	NONE
L14	Ehren Kret; Rolfe Schmidt	The PQXDH Key Agreement Protocol	Signal protocol specification; Revision 3	2023-2024			https://signal.org/docs/specifications/pqxdh/	yes	protocol flow; replay; key reuse; identity binding; KEM re-encapsulation; key identifiers	PROTOCOL_SPECIFICATION_BACKGROUND	NONE
L15	Martin Thomson; Eric Rescorla	Unknown Key-Share Attacks on Uses of TLS with the Session Description Protocol (SDP)	RFC 8844	2021		10.17487/RFC8844	https://www.rfc-editor.org/rfc/rfc8844.html	yes	abstract; UKS definition; identity-binding attack; fingerprint attack; session-identity mitigation	IDENTITY_BINDING_BACKGROUND	NONE
L16	Simone Lupetti; Feike W. Dillema; Tage Stabell-Kulø	Names in Cryptographic Protocols	4th International Workshop on Security in Information Systems (WOSIS 2006)	2006	185-194		https://www.scitepress.org/papers/2006/24847/24847.pdf	yes	abstract; protocol examples; name-uniqueness principle; correlated-session scope; local and global verification	IDENTITY_SEMANTICS_ADJACENT	MEDIUM
L17	Pieter Ceelen; Sjouke Mauw; Saša Radomirović	Chosen-Name Attacks: An Overlooked Class of Type-Flaw Attacks	Electronic Notes in Theoretical Computer Science 197(2)	2008	31-43	10.1016/j.entcs.2007.12.015	https://satoss.uni.lu/papers/CMR07.pdf	yes	abstract; dynamic agent naming; selected and assigned names; protocol examples; tool implications	IDENTITY_MODELING_ADJACENT	LOW
L18	Nik Unger; Sergej Dechand; Joseph Bonneau; Sascha Fahl; Henning Perl; Ian Goldberg; Matthew Smith	SoK: Secure Messaging	2015 IEEE Symposium on Security and Privacy	2015	232-249	10.1109/SP.2015.22	https://people.eecs.berkeley.edu/~raluca/cs261-f15/readings/sok_secure_messaging.pdf	yes	abstract; systematization method; conversation-security properties; participant consistency; speaker consistency	SECURE_MESSAGING_TAXONOMY	MEDIUM
L19	B. Sattarzadeh; M. S. Fallah	Automated Type-Based Analysis of Injective Agreement in the Presence of Compromised Principals	Journal of Logical and Algebraic Methods in Programming 84(5)	2015	576-610	10.1016/j.jlamp.2015.06.002	https://www.sciencedirect.com/science/article/pii/S2352220815000528	yes	abstract; spi-calculus semantics; robust safety; begin-end resources; copied-message example; injective agreement	CORRESPONDENCE_ADJACENT	MEDIUM
L20	Cas Cremers; Britta Hale; Konrad Kohbrok	The Complexities of Healing in Secure Group Messaging: Why Cross-Group Effects Matter	30th USENIX Security Symposium	2021	1847-1864		https://www.usenix.org/conference/usenixsecurity21/presentation/cremers	yes	abstract; cross-group scenarios; pairwise versus group-key design; PCS results; formal security scope	COMPOSITION_ADJACENT	LOW
L21	Suzana Andova; Cas Cremers; Kristian Gjøsteen; Sjouke Mauw; Stig F. Mjølsnes; Saša Radomirović	A Framework for Compositional Verification of Security Protocols	Information and Computation 206(2-4)	2008	425-459	10.1016/j.ic.2007.07.002	https://research.tue.nl/en/publications/a-framework-for-compositional-verification-of-security-protocols/	yes	abstract; protocol composition; independence conditions; preservation theorems; WiMAX case study	FORMAL_COMPOSITION_BACKGROUND	LOW
