property_id	tool	suite	target_id	query_or_lemma	property_kind	expected_status
tam-combined-impact-batch_fail_complete_exclusive	tamarin-prover	combined-impact	batch_fail_complete_exclusive	batch_fail_complete_exclusive	regression	verified
tam-combined-impact-state_consumed_on_duplicate_fail	tamarin-prover	combined-impact	state_consumed_on_duplicate_fail	state_consumed_on_duplicate_fail	regression	verified
tam-combined-impact-confirmed_base_message_accepted_at_most_once	tamarin-prover	combined-impact	confirmed_base_message_accepted_at_most_once	confirmed_base_message_accepted_at_most_once	direct_theorem	verified
tam-combined-impact-duplicate_same_base_different_tag_fail_exists	tamarin-prover	combined-impact	duplicate_same_base_different_tag_fail_exists	duplicate_same_base_different_tag_fail_exists	non_vacuity	verified
tam-combined-impact-confirmed_accept_requires_valid_tag	tamarin-prover	combined-impact	confirmed_accept_requires_valid_tag	confirmed_accept_requires_valid_tag	structural_result	verified
tam-combined-impact-confirmed_accept_requires_hmac_validated	tamarin-prover	combined-impact	confirmed_accept_requires_hmac_validated	confirmed_accept_requires_hmac_validated	structural_result	verified
tam-combined-impact-hmac_failure_slot1_exists	tamarin-prover	combined-impact	hmac_failure_slot1_exists	hmac_failure_slot1_exists	non_vacuity	verified
tam-combined-impact-hmac_failure_slot2_after_prior_accept_replay_exists	tamarin-prover	combined-impact	hmac_failure_slot2_after_prior_accept_replay_exists	hmac_failure_slot2_after_prior_accept_replay_exists	non_vacuity	verified
tam-combined-impact-hmac_failed_slot_has_no_accept	tamarin-prover	combined-impact	hmac_failed_slot_has_no_accept	hmac_failed_slot_has_no_accept	direct_theorem	verified
tam-combined-impact-normal_two_distinct_valid_confirmed_accepts_complete	tamarin-prover	combined-impact	normal_two_distinct_valid_confirmed_accepts_complete	normal_two_distinct_valid_confirmed_accepts_complete	non_vacuity	verified
tam-combined-impact-accept_output_has_same_time_confirmed_accept	tamarin-prover	combined-impact	accept_output_has_same_time_confirmed_accept	accept_output_has_same_time_confirmed_accept	structural_result	verified
tam-combined-impact-confirmed_receiver_accept_has_output	tamarin-prover	combined-impact	confirmed_receiver_accept_has_output	confirmed_receiver_accept_has_output	structural_result	verified
tam-combined-impact-confirmed_receiver_accept_has_unique_output	tamarin-prover	combined-impact	confirmed_receiver_accept_has_unique_output	confirmed_receiver_accept_has_unique_output	direct_theorem	verified
tam-combined-impact-accept_id_unique	tamarin-prover	combined-impact	accept_id_unique	accept_id_unique	direct_theorem	verified
tam-combined-impact-install_has_prior_accept	tamarin-prover	combined-impact	install_has_prior_accept	install_has_prior_accept	structural_result	verified
tam-combined-impact-install_session_has_interface_origin	tamarin-prover	combined-impact	install_session_has_interface_origin	install_session_has_interface_origin	structural_result	verified
tam-combined-impact-install_from_accept_has_session	tamarin-prover	combined-impact	install_from_accept_has_session	install_from_accept_has_session	structural_result	verified
tam-combined-impact-install_event_has_single_source	tamarin-prover	combined-impact	install_event_has_single_source	install_event_has_single_source	structural_result	verified
tam-combined-impact-install_handle_unique	tamarin-prover	combined-impact	install_handle_unique	install_handle_unique	direct_theorem	verified
tam-combined-impact-accept_output_installed_at_most_once	tamarin-prover	combined-impact	accept_output_installed_at_most_once	accept_output_installed_at_most_once	direct_theorem	verified
tam-combined-impact-distinct_accept_sources_have_distinct_handles	tamarin-prover	combined-impact	distinct_accept_sources_have_distinct_handles	distinct_accept_sources_have_distinct_handles	direct_theorem	verified
tam-combined-impact-install_requires_batch_complete	tamarin-prover	combined-impact	install_requires_batch_complete	install_requires_batch_complete	structural_result	verified
tam-combined-impact-consumer_complete_requires_all_outputs_installed	tamarin-prover	combined-impact	consumer_complete_requires_all_outputs_installed	consumer_complete_requires_all_outputs_installed	structural_result	verified
tam-combined-impact-consumer_complete_single_use	tamarin-prover	combined-impact	consumer_complete_single_use	consumer_complete_single_use	conditional_C_install_v2	verified
tam-combined-impact-no_install_after_consumer_close	tamarin-prover	combined-impact	no_install_after_consumer_close	no_install_after_consumer_close	conditional_C_install_v2	verified
tam-combined-impact-normal_one_confirmed_accept_one_install	tamarin-prover	combined-impact	normal_one_confirmed_accept_one_install	normal_one_confirmed_accept_one_install	non_vacuity	verified
tam-combined-impact-legacy_same_confirmed_message_consumer_complete_exists	tamarin-prover	combined-impact	legacy_same_confirmed_message_consumer_complete_exists	legacy_same_confirmed_message_consumer_complete_exists	blocked_attack_witness_regression	falsified
tam-combined-impact-one_confirmed_send_two_accepts_two_installs_exists	tamarin-prover	combined-impact	one_confirmed_send_two_accepts_two_installs_exists	one_confirmed_send_two_accepts_two_installs_exists	blocked_attack_witness_regression	falsified
tam-combined-impact-unique_install_within_completed_consumer	tamarin-prover	combined-impact	unique_install_within_completed_consumer	unique_install_within_completed_consumer	direct_theorem	verified
tam-combined-impact-duplicate_batch_has_no_accept_output	tamarin-prover	combined-impact	duplicate_batch_has_no_accept_output	duplicate_batch_has_no_accept_output	direct_theorem	verified
tam-combined-impact-duplicate_batch_has_no_install	tamarin-prover	combined-impact	duplicate_batch_has_no_install	duplicate_batch_has_no_install	direct_theorem	verified
tam-combined-impact-normal_two_distinct_valid_confirmed_outputs_consumer_complete	tamarin-prover	combined-impact	normal_two_distinct_valid_confirmed_outputs_consumer_complete	normal_two_distinct_valid_confirmed_outputs_consumer_complete	non_vacuity	verified
tam-combined-impact-no_consumer_after_failed_batch	tamarin-prover	combined-impact	no_consumer_after_failed_batch	no_consumer_after_failed_batch	direct_theorem	verified
tam-combined-impact-hmac_failure_slot2_after_prior_accept_exists	tamarin-prover	combined-impact	hmac_failure_slot2_after_prior_accept_exists	hmac_failure_slot2_after_prior_accept_exists	non_vacuity	verified
tam-original-replay-normal_single_accept	tamarin-prover	original-replay	normal_single_accept	normal_single_accept	non_vacuity	verified
tam-original-replay-normal_batch_complete	tamarin-prover	original-replay	normal_batch_complete	normal_batch_complete	non_vacuity	verified
tam-original-replay-one_send_two_accepts_exists	tamarin-prover	original-replay	one_send_two_accepts_exists	one_send_two_accepts_exists	positive_attack_witness	verified
tam-original-replay-same_message_accepted_at_most_once	tamarin-prover	original-replay	same_message_accepted_at_most_once	same_message_accepted_at_most_once	falsified_universal_property	falsified
tam-original-replay-full_message_unique_send	tamarin-prover	original-replay	full_message_unique_send	full_message_unique_send	direct_theorem	verified
tam-original-replay-receiver_accept_has_sender	tamarin-prover	original-replay	receiver_accept_has_sender	receiver_accept_has_sender	structural_result	verified
tam-original-replay-injective_receiver_accept	tamarin-prover	original-replay	injective_receiver_accept	injective_receiver_accept	falsified_universal_property	falsified
tam-original-replay-slot_indices_distinct	tamarin-prover	original-replay	slot_indices_distinct	slot_indices_distinct	regression	verified
tam-original-replay-process_requires_slot_added	tamarin-prover	original-replay	process_requires_slot_added	process_requires_slot_added	regression	verified
tam-original-replay-process_requires_seal	tamarin-prover	original-replay	process_requires_seal	process_requires_seal	regression	verified
tam-original-replay-complete_requires_all_slots_processed	tamarin-prover	original-replay	complete_requires_all_slots_processed	complete_requires_all_slots_processed	regression	verified
tam-original-replay-no_add_after_seal	tamarin-prover	original-replay	no_add_after_seal	no_add_after_seal	regression	verified
tam-original-replay-no_accept_after_close	tamarin-prover	original-replay	no_accept_after_close	no_accept_after_close	regression	verified
tam-original-replay-batch_complete_consumes_state	tamarin-prover	original-replay	batch_complete_consumes_state	batch_complete_consumes_state	regression	verified
tam-original-replay-batch_fail_consumes_state	tamarin-prover	original-replay	batch_fail_consumes_state	batch_fail_consumes_state	regression	verified
tam-original-replay-batch_end_token_single_use	tamarin-prover	original-replay	batch_end_token_single_use	batch_end_token_single_use	regression	verified
tam-original-replay-receiver_state_single_batch	tamarin-prover	original-replay	receiver_state_single_batch	receiver_state_single_batch	regression	verified
tam-original-replay-receiver_state_single_batch_end	tamarin-prover	original-replay	receiver_state_single_batch_end	receiver_state_single_batch_end	regression	verified
tam-hmac-replay-normal_confirmed_single_accept	tamarin-prover	hmac-replay	normal_confirmed_single_accept	normal_confirmed_single_accept	non_vacuity	verified
tam-hmac-replay-normal_confirmed_batch_complete	tamarin-prover	hmac-replay	normal_confirmed_batch_complete	normal_confirmed_batch_complete	non_vacuity	verified
tam-hmac-replay-confirmed_receiver_accept_has_sender	tamarin-prover	hmac-replay	confirmed_receiver_accept_has_sender	confirmed_receiver_accept_has_sender	structural_result	verified
tam-hmac-replay-confirmed_message_unique_send	tamarin-prover	hmac-replay	confirmed_message_unique_send	confirmed_message_unique_send	direct_theorem	verified
tam-hmac-replay-one_confirmed_send_two_accepts_exists	tamarin-prover	hmac-replay	one_confirmed_send_two_accepts_exists	one_confirmed_send_two_accepts_exists	positive_attack_witness	verified
tam-hmac-replay-confirmed_message_accepted_at_most_once	tamarin-prover	hmac-replay	confirmed_message_accepted_at_most_once	confirmed_message_accepted_at_most_once	falsified_universal_property	falsified
tam-hmac-replay-injective_confirmed_receiver_accept	tamarin-prover	hmac-replay	injective_confirmed_receiver_accept	injective_confirmed_receiver_accept	falsified_universal_property	falsified
tam-hmac-replay-slot_indices_distinct	tamarin-prover	hmac-replay	slot_indices_distinct	slot_indices_distinct	regression	verified
tam-hmac-replay-process_requires_slot_added	tamarin-prover	hmac-replay	process_requires_slot_added	process_requires_slot_added	regression	verified
tam-hmac-replay-process_requires_seal	tamarin-prover	hmac-replay	process_requires_seal	process_requires_seal	regression	verified
tam-hmac-replay-complete_requires_all_slots_processed	tamarin-prover	hmac-replay	complete_requires_all_slots_processed	complete_requires_all_slots_processed	regression	verified
tam-hmac-replay-no_add_after_seal	tamarin-prover	hmac-replay	no_add_after_seal	no_add_after_seal	regression	verified
tam-hmac-replay-no_accept_after_close	tamarin-prover	hmac-replay	no_accept_after_close	no_accept_after_close	regression	verified
tam-hmac-replay-batch_complete_consumes_state	tamarin-prover	hmac-replay	batch_complete_consumes_state	batch_complete_consumes_state	regression	verified
tam-hmac-replay-batch_fail_consumes_state	tamarin-prover	hmac-replay	batch_fail_consumes_state	batch_fail_consumes_state	regression	verified
tam-hmac-replay-batch_end_token_single_use	tamarin-prover	hmac-replay	batch_end_token_single_use	batch_end_token_single_use	regression	verified
tam-hmac-replay-receiver_state_single_batch	tamarin-prover	hmac-replay	receiver_state_single_batch	receiver_state_single_batch	regression	verified
tam-hmac-replay-receiver_state_single_batch_end	tamarin-prover	hmac-replay	receiver_state_single_batch_end	receiver_state_single_batch_end	regression	verified
tam-original-impact-accept_output_has_same_time_accept	tamarin-prover	original-impact	accept_output_has_same_time_accept	accept_output_has_same_time_accept	structural_result	verified
tam-original-impact-receiver_accept_has_output	tamarin-prover	original-impact	receiver_accept_has_output	receiver_accept_has_output	structural_result	verified
tam-original-impact-receiver_accept_has_unique_output	tamarin-prover	original-impact	receiver_accept_has_unique_output	receiver_accept_has_unique_output	direct_theorem	verified
tam-original-impact-accept_id_unique	tamarin-prover	original-impact	accept_id_unique	accept_id_unique	direct_theorem	verified
tam-original-impact-install_has_prior_accept	tamarin-prover	original-impact	install_has_prior_accept	install_has_prior_accept	structural_result	verified
tam-original-impact-install_session_has_interface_origin	tamarin-prover	original-impact	install_session_has_interface_origin	install_session_has_interface_origin	structural_result	verified
tam-original-impact-install_from_accept_has_session	tamarin-prover	original-impact	install_from_accept_has_session	install_from_accept_has_session	structural_result	verified
tam-original-impact-install_event_has_single_source	tamarin-prover	original-impact	install_event_has_single_source	install_event_has_single_source	structural_result	verified
tam-original-impact-install_handle_unique	tamarin-prover	original-impact	install_handle_unique	install_handle_unique	direct_theorem	verified
tam-original-impact-accept_output_installed_at_most_once	tamarin-prover	original-impact	accept_output_installed_at_most_once	accept_output_installed_at_most_once	direct_theorem	verified
tam-original-impact-distinct_accept_sources_have_distinct_handles	tamarin-prover	original-impact	distinct_accept_sources_have_distinct_handles	distinct_accept_sources_have_distinct_handles	direct_theorem	verified
tam-original-impact-install_requires_batch_complete	tamarin-prover	original-impact	install_requires_batch_complete	install_requires_batch_complete	structural_result	verified
tam-original-impact-consumer_complete_requires_all_outputs_installed	tamarin-prover	original-impact	consumer_complete_requires_all_outputs_installed	consumer_complete_requires_all_outputs_installed	structural_result	verified
tam-original-impact-consumer_complete_single_use	tamarin-prover	original-impact	consumer_complete_single_use	consumer_complete_single_use	conditional_C_install_v2	verified
tam-original-impact-no_install_after_consumer_close	tamarin-prover	original-impact	no_install_after_consumer_close	no_install_after_consumer_close	conditional_C_install_v2	verified
tam-original-impact-normal_one_accept_one_install	tamarin-prover	original-impact	normal_one_accept_one_install	normal_one_accept_one_install	non_vacuity	verified
tam-original-impact-normal_consumer_complete	tamarin-prover	original-impact	normal_consumer_complete	normal_consumer_complete	non_vacuity	verified
tam-original-impact-one_send_two_accepts_two_installs_exists	tamarin-prover	original-impact	one_send_two_accepts_two_installs_exists	one_send_two_accepts_two_installs_exists	positive_attack_witness	verified
tam-original-impact-unique_install_within_completed_consumer	tamarin-prover	original-impact	unique_install_within_completed_consumer	unique_install_within_completed_consumer	falsified_universal_property	falsified
tam-original-impact-normal_single_accept	tamarin-prover	original-impact	normal_single_accept	normal_single_accept	non_vacuity	verified
tam-original-impact-normal_batch_complete	tamarin-prover	original-impact	normal_batch_complete	normal_batch_complete	non_vacuity	verified
tam-original-impact-one_send_two_accepts_exists	tamarin-prover	original-impact	one_send_two_accepts_exists	one_send_two_accepts_exists	positive_attack_witness	verified
tam-original-impact-same_message_accepted_at_most_once	tamarin-prover	original-impact	same_message_accepted_at_most_once	same_message_accepted_at_most_once	falsified_universal_property	falsified
tam-original-impact-full_message_unique_send	tamarin-prover	original-impact	full_message_unique_send	full_message_unique_send	direct_theorem	verified
tam-original-impact-receiver_accept_has_sender	tamarin-prover	original-impact	receiver_accept_has_sender	receiver_accept_has_sender	structural_result	verified
tam-original-impact-injective_receiver_accept	tamarin-prover	original-impact	injective_receiver_accept	injective_receiver_accept	falsified_universal_property	falsified
tam-original-impact-slot_indices_distinct	tamarin-prover	original-impact	slot_indices_distinct	slot_indices_distinct	regression	verified
tam-original-impact-process_requires_slot_added	tamarin-prover	original-impact	process_requires_slot_added	process_requires_slot_added	regression	verified
tam-original-impact-process_requires_seal	tamarin-prover	original-impact	process_requires_seal	process_requires_seal	regression	verified
tam-original-impact-complete_requires_all_slots_processed	tamarin-prover	original-impact	complete_requires_all_slots_processed	complete_requires_all_slots_processed	regression	verified
tam-original-impact-no_add_after_seal	tamarin-prover	original-impact	no_add_after_seal	no_add_after_seal	regression	verified
tam-original-impact-no_accept_after_close	tamarin-prover	original-impact	no_accept_after_close	no_accept_after_close	regression	verified
tam-original-impact-batch_complete_consumes_state	tamarin-prover	original-impact	batch_complete_consumes_state	batch_complete_consumes_state	regression	verified
tam-original-impact-batch_fail_consumes_state	tamarin-prover	original-impact	batch_fail_consumes_state	batch_fail_consumes_state	regression	verified
tam-original-impact-batch_end_token_single_use	tamarin-prover	original-impact	batch_end_token_single_use	batch_end_token_single_use	regression	verified
tam-original-impact-receiver_state_single_batch	tamarin-prover	original-impact	receiver_state_single_batch	receiver_state_single_batch	regression	verified
tam-original-impact-receiver_state_single_batch_end	tamarin-prover	original-impact	receiver_state_single_batch_end	receiver_state_single_batch_end	regression	verified
tam-fixed-replay-normal_single_accept	tamarin-prover	fixed-replay	normal_single_accept	normal_single_accept	non_vacuity	verified
tam-fixed-replay-normal_batch_complete	tamarin-prover	fixed-replay	normal_batch_complete	normal_batch_complete	non_vacuity	verified
tam-fixed-replay-one_send_two_accepts_exists	tamarin-prover	fixed-replay	one_send_two_accepts_exists	one_send_two_accepts_exists	blocked_attack_witness_regression	falsified
tam-fixed-replay-same_message_accepted_at_most_once	tamarin-prover	fixed-replay	same_message_accepted_at_most_once	same_message_accepted_at_most_once	direct_theorem	verified
tam-fixed-replay-full_message_unique_send	tamarin-prover	fixed-replay	full_message_unique_send	full_message_unique_send	direct_theorem	verified
tam-fixed-replay-receiver_accept_has_sender	tamarin-prover	fixed-replay	receiver_accept_has_sender	receiver_accept_has_sender	structural_result	verified
tam-fixed-replay-injective_receiver_accept	tamarin-prover	fixed-replay	injective_receiver_accept	injective_receiver_accept	direct_theorem	verified
tam-fixed-replay-slot_indices_distinct	tamarin-prover	fixed-replay	slot_indices_distinct	slot_indices_distinct	regression	verified
tam-fixed-replay-process_requires_slot_added	tamarin-prover	fixed-replay	process_requires_slot_added	process_requires_slot_added	regression	verified
tam-fixed-replay-process_requires_seal	tamarin-prover	fixed-replay	process_requires_seal	process_requires_seal	regression	verified
tam-fixed-replay-complete_requires_all_slots_processed	tamarin-prover	fixed-replay	complete_requires_all_slots_processed	complete_requires_all_slots_processed	regression	verified
tam-fixed-replay-no_add_after_seal	tamarin-prover	fixed-replay	no_add_after_seal	no_add_after_seal	regression	verified
tam-fixed-replay-no_accept_after_close	tamarin-prover	fixed-replay	no_accept_after_close	no_accept_after_close	regression	verified
tam-fixed-replay-batch_complete_consumes_state	tamarin-prover	fixed-replay	batch_complete_consumes_state	batch_complete_consumes_state	regression	verified
tam-fixed-replay-batch_fail_consumes_state	tamarin-prover	fixed-replay	batch_fail_consumes_state	batch_fail_consumes_state	regression	verified
tam-fixed-replay-batch_end_token_single_use	tamarin-prover	fixed-replay	batch_end_token_single_use	batch_end_token_single_use	regression	verified
tam-fixed-replay-receiver_state_single_batch	tamarin-prover	fixed-replay	receiver_state_single_batch	receiver_state_single_batch	regression	verified
tam-fixed-replay-receiver_state_single_batch_end	tamarin-prover	fixed-replay	receiver_state_single_batch_end	receiver_state_single_batch_end	regression	verified
tam-fixed-replay-duplicate_batch_fail_exists	tamarin-prover	fixed-replay	duplicate_batch_fail_exists	duplicate_batch_fail_exists	non_vacuity	verified
tam-fixed-replay-duplicate_detected_before_any_accept	tamarin-prover	fixed-replay	duplicate_detected_before_any_accept	duplicate_detected_before_any_accept	direct_theorem	verified
tam-fixed-replay-duplicate_batch_has_no_accept	tamarin-prover	fixed-replay	duplicate_batch_has_no_accept	duplicate_batch_has_no_accept	direct_theorem	verified
tam-fixed-replay-process_requires_dedup_pass	tamarin-prover	fixed-replay	process_requires_dedup_pass	process_requires_dedup_pass	regression	verified
tam-fixed-replay-dedup_pass_messages_distinct	tamarin-prover	fixed-replay	dedup_pass_messages_distinct	dedup_pass_messages_distinct	regression	verified
